compound_id,food_id,name,description
133,44,Plant Protein & Iron,Vigna unguiculata provides ~24g protein per 100g dry weight with a favourable amino acid profile; a good plant-based iron source especially for low-meat diets.
134,44,"Polyphenols (Vitexin, Isovitexin)",Black-eyed peas contain flavone C-glycosides with documented NF-κB pathway inhibition and antioxidant activity; contribute to anti-inflammatory properties.
135,45,Lactic Acid Bacteria (LAB),"Sour trahanas is fermented with naturally occurring LAB — predominantly Lactobacillus and Streptococcus species — that acidify the mixture and survive partial drying. Related strains in Greek dairy fermentations (feta, yoghurt) have been documented for probiotic properties including gut epithelial adhesion and cholesterol assimilation."
136,45,Fermented Wheat Proteins & Bioactive Peptides,"Fermentation of wheat with acidified milk partially pre-digests gluten proteins and generates bioactive peptides with documented ACE-inhibitory potential, improving digestibility compared to unfermented grain products."
137,45,Complex Carbohydrates & Resistant Starch,"Cracked wheat base provides slow-release complex carbohydrates; the fermentation and drying process increases resistant starch content, supporting lower glycemic response compared to refined grain products."
138,46,Resistant Starch & Beta-Glucans,"Chickpeas contain resistant starch and beta-glucan soluble fibre that resists digestion in the small intestine, reaching the colon where it is fermented by microbiota. This slow fermentation produces short-chain fatty acids that blunt postprandial glucose spikes and improve insulin sensitivity, explaining the significant glycaemic-lowering effect observed in meta-analyses of controlled trials (postprandial glucose iAUC -47.89; p<0.0001)."
139,46,Isoflavones & Polyphenols,"Chickpeas are among the richest non-soy sources of isoflavones (biochanin A, formononetin) and polyphenols including ferulic acid and kaempferol. These phytoestrogens and antioxidant phenolics reduce LDL oxidation and support cardiovascular health, particularly relevant in postmenopausal populations."
140,46,Plant Protein & Essential Amino Acids,"Chickpeas provide 19-20g protein per 100g dry weight including lysine (often limiting in cereals). The protein-fibre combination slows gastric emptying, contributing to the low glycaemic index (~28-35) and documented satiety effect of chickpea consumption."
141,47,Resveratrol,"Resveratrol is a stilbene polyphenol found predominantly in grape skins. A 2026 meta-analysis of 40 RCTs (2551 participants) found resveratrol supplementation significantly reduced HOMA-IR, total cholesterol, LDL, triglycerides, blood pressure, hs-CRP, TNF-alpha, and IL-6. Mechanisms include SIRT1 activation, eNOS upregulation (nitric oxide production), and NF-kB suppression."
142,47,Quercetin & Flavonols,"Cretan grapes contain high levels of quercetin and kaempferol glycosides, concentrated in the skin and seeds. Quercetin inhibits LDL oxidation, reduces platelet aggregation, and modulates histamine release. Its bioavailability is enhanced by the co-presence of resveratrol and catechin in whole grapes and grape products."
143,47,Oligomeric Proanthocyanidins (OPCs),"Grape seeds and skins are among the richest sources of oligomeric proanthocyanidins (condensed tannins) — powerful vascular antioxidants that bind to collagen and elastin in vessel walls, strengthening capillary integrity and improving circulation. Cretan sun-dried grapes (raisins) concentrate these compounds."
144,48,Betacyanins & Betalains,"Prickly pear derives its colour from betacyanins and betaxanthins — nitrogen-containing pigments unique to the order Caryophyllales. Unlike anthocyanins, betalains are highly bioavailable. A 2025 clinical trial documented 48% increase in total antioxidant capacity and 59.8% reduction in 8-OHdG (DNA oxidative damage marker) after 3 months in healthy adults."
145,48,Indicaxanthin,"Indicaxanthin is a betaxanthin unique to Opuntia ficus-indica with particularly strong free-radical scavenging activity in vitro and ex vivo. Unlike many dietary antioxidants, it retains activity in the oxidative conditions of the gut. Human pharmacokinetic studies confirm its absorption and accumulation in plasma after fruit consumption."
146,48,Vitamin C & Polyphenols,"Prickly pear contains 22-35mg/100g vitamin C alongside quercetin, isorhamnetin, and kaempferol glycosides. These water-soluble antioxidants act synergistically with betalain pigments, providing protection against oxidative stress through complementary mechanisms across both aqueous and lipid cellular compartments."
147,49,Rosmarinic Acid,"Rosmarinic acid is a polyphenolic ester found at high concentrations in spearmint. The extract studied in cognitive RCTs is standardised to a minimum 14.5% rosmarinic acid. It inhibits acetylcholinesterase and monoamine oxidase, supporting cholinergic neurotransmission and noradrenaline availability — mechanisms relevant to attention and working memory improvements documented in clinical trials."
148,49,Carvone & Flavonoid Complex,"L-carvone is the principal monoterpene responsible for spearmint's characteristic aroma and biological activity. In vitro studies show carvone modulates GABA-A receptors and voltage-gated calcium channels. Combined with luteolin, apigenin, and hesperidin in spearmint leaf, this flavonoid complex may contribute to mild anxiolytic and sleep-facilitating effects observed alongside cognitive improvements in clinical trials."
149,49,Limonene & Terpene Antioxidants,"Spearmint essential oil contains limonene, beta-pinene, and dihydrocarvone alongside carvone. These terpene antioxidants have anti-inflammatory and antioxidant properties in cell models; spearmint leaf extract inhibits lipid peroxidation and scavenges hydroxyl radicals — contributing to neuroprotection during ageing."
150,50,Lutein & Zeaxanthin,Pistachios are the richest nut source of lutein and zeaxanthin — xanthophyll carotenoids that concentrate in the retinal macula and provide oxidative protection against age-related macular degeneration. These carotenoids also act as systemic antioxidants and may contribute to the anti-inflammatory activity observed in pistachio trials.
151,50,Gamma-Tocopherol,"Pistachios contain gamma-tocopherol as their primary vitamin E form — distinct from the alpha-tocopherol in most supplements. Gamma-tocopherol has unique anti-inflammatory properties, neutralising reactive nitrogen species. This form has been associated with reduced endothelial inflammation and plaque formation in cardiovascular disease models."
152,50,Arginine & Phytosterols,"Pistachios are among the richest nut sources of arginine — the amino acid precursor to nitric oxide synthesis in vascular endothelium. Increased nitric oxide promotes vasodilation and is a key mechanism behind the blood pressure-lowering effect documented in 13 RCTs. Pistachio phytosterols (beta-sitosterol, campesterol) additionally compete with dietary cholesterol for absorption."
153,51,Folate & B-Vitamins,"Lentils are one of the richest sources of folate (vitamin B9), providing ~358ug per 100g cooked — nearly the entire recommended daily intake. Folate is required for homocysteine remethylation; elevated homocysteine is an independent cardiovascular risk factor. Lentils also provide thiamine, niacin, and vitamin B6."
154,51,Slow-Release Carbohydrates & Resistant Starch,"Lentils have a glycaemic index of 29-35 — one of the lowest of any carbohydrate food. Their resistant starch and soluble fibre slows glucose absorption, reduces postprandial insulin response, and promotes butyrate production by colonic microbiota. Meta-analyses of legume RCTs confirm reductions in fasting glucose and HOMA-IR."
155,51,Polyphenols & Tannins,"Lentil seed coats are rich in condensed tannins, ferulic acid, catechin, and procyanidins. These polyphenols inhibit alpha-amylase and alpha-glucosidase (slowing starch digestion), chelate LDL-oxidising metals, and reduce intestinal cholesterol absorption. Black and green lentils have higher polyphenol concentrations than red varieties."
156,52,Sesamin & Sesamolin,"Sesamin and sesamolin are fat-soluble lignans unique to sesame. They are converted by gut microbiota to enterolactone and enterodiol — mammalian lignans with documented effects on lipid metabolism, blood pressure regulation via eNOS pathway, and inhibition of delta-5 desaturase (reducing arachidonic acid production and thereby inflammation)."
157,52,Sesaminol & Antioxidant Lignans,"Sesaminol is formed from sesame lignans during roasting (the tahini process) and is a potent antioxidant protecting against LDL oxidation. The combined lignan complex has demonstrated blood pressure-lowering, cholesterol-lowering, and anti-inflammatory properties in clinical trials, including an RCT in 300 hypertensive patients where sesame oil as sole cooking oil for 60 days improved all cardiovascular risk markers."
158,52,Polyunsaturated Fatty Acids (PUFA),"Sesame oil is ~41% linoleic acid (omega-6) and ~39% oleic acid (omega-9), giving a fatty acid profile intermediate between sunflower and olive oil. While the omega-6:3 ratio is not ideal, the lignan content uniquely counteracts the pro-inflammatory tendency of omega-6 fats — distinguishing sesame's cardiovascular effects from other high-PUFA oils."
159,53,Lycopene,"Lycopene is a fat-soluble carotenoid responsible for the red colour of ripe tomatoes and one of the most potent dietary antioxidants. An umbrella review of 17 meta-analyses found dietary lycopene intake inversely associated with all-cause mortality, stroke, CVD, metabolic syndrome, and prostate cancer. Bioavailability increases dramatically when tomatoes are cooked and eaten with oil."
160,53,Beta-Carotene & Carotenoid Complex,"Beyond lycopene, tomatoes contain beta-carotene, phytoene, phytofluene, and beta-cryptoxanthin — carotenoids acting synergistically to protect vascular endothelium and skin from oxidative damage. Beta-carotene converts to vitamin A as needed; non-provitamin carotenoids function primarily as antioxidants and inflammation modulators."
161,53,Vitamin C & Potassium,"A medium tomato provides 15-25mg vitamin C and ~300mg potassium. Potassium is directly inversely associated with blood pressure (promotes sodium excretion via the kidney) and is a key nutrient in the Cretan diet's documented cardioprotective effect. Combined with lycopene's LDL-antioxidant activity, tomato's micronutrient profile makes it a central pillar of Mediterranean cardiovascular protection."
162,54,Carnosic Acid,"Carnosic acid is a diterpenoid phenol found at 4-8% dry weight in rosemary that acts as both a direct antioxidant and precursor to other bioactive compounds. In the brain, it activates the Nrf2 pathway — the master antioxidant transcription factor — protecting neurons from oxidative damage. It also inhibits acetylcholinesterase, the enzyme that degrades acetylcholine (the neurotransmitter of attention, learning, and memory)."
163,54,Carnosol,"Carnosol is formed from carnosic acid during rosemary drying and processing, sharing similar neuroprotective properties. It has documented anti-inflammatory activity via NF-kB inhibition, antioxidant activity via multiple mechanisms, and has been studied for potential roles in cancer prevention. Carnosol's lipophilicity allows it to cross the blood-brain barrier."
164,54,Ursolic Acid,"Ursolic acid is a pentacyclic triterpenoid found in rosemary's waxy leaf coating. It inhibits multiple neurodegeneration targets including acetylcholinesterase, beta-secretase (BACE-1), and inflammatory cyclooxygenase enzymes. The rosemary water RCT (Moss 2018) proposed both cholinergic and cerebrovascular mechanisms to explain the cognitive improvements observed after acute ingestion."
165,55,Pectin (Soluble Fibre),"Quince is one of the richest fruit sources of pectin — a soluble fibre that forms a viscous gel in the gut, slowing glucose absorption and binding bile acids (forcing the liver to divert cholesterol to bile acid synthesis, thereby lowering circulating LDL). Quince pectin has prebiotic properties, supporting beneficial gut bacteria in vitro and animal models."
166,55,Chlorogenic Acid,"Chlorogenic acid is among the most abundant polyphenols in quince flesh. It inhibits glucose-6-phosphate translocase (reducing hepatic glucose output), has antihypertensive properties via eNOS activation, and demonstrates strong antioxidant activity in plasma. These mechanisms are consistent with the glycaemic and lipid improvements observed in the quince nutraceutical trial (Sardelli 2025)."
167,55,Quercetin Glycosides,"Quince skin is particularly rich in quercetin-3-glucoside and other flavonol glycosides with enhanced bioavailability compared to aglycone quercetin. These compounds have documented cardioprotective, anti-inflammatory, and antiviral properties. Quince's traditional use for sore throats and respiratory infections in Cretan folk medicine is consistent with the antimicrobial activity of quercetin and chlorogenic acid."
168,56,Nasunin (Anthocyanin),"Nasunin is an anthocyanin-type pigment unique to eggplant skin and one of the most potent antioxidants among common vegetables. It scavenges hydroxyl and peroxyl radicals, protects cell membrane lipids from peroxidation, and specifically protects mitochondrial lipids in neurons. Unlike many antioxidants, nasunin chelates iron and copper ions, preventing metal-catalysed oxidative reactions."
169,56,Chlorogenic Acid & Caffeic Acid,"Eggplant flesh is among the richest vegetable sources of chlorogenic acid (responsible for its browning when cut). Along with caffeic acid, these hydroxycinnamate polyphenols inhibit alpha-glucosidase (slowing starch digestion), reduce LDL oxidation, and have hepatoprotective properties. Coumaroyltyramine, also found in eggplant, has demonstrated antihyperglycaemic activity in in vitro studies."
170,56,Fibre & Scopoletin,"Eggplant provides 3g dietary fibre per 100g, contributing to gut microbiome diversity and cholesterol regulation. It also contains scopoletin — a coumarin with vasodilatory properties (via smooth muscle relaxation) and antioxidant activity. Direct human RCT data for eggplant specifically are limited; these properties are inferred from its well-established compositional evidence."
171,57,Apigenin,"Apigenin is chamomile's principal bioactive flavonoid (~68% of total flavonoid content). It binds to benzodiazepine receptors at the GABA-A receptor complex with moderate affinity, producing anxiolytic and mild sedative effects without dependency risk. The standardised chamomile extract used in the GAD clinical trial (220-1100mg/day, 1.2% apigenin) significantly outperformed placebo on Hamilton Anxiety Scale (p=0.047)."
172,57,Bisabolol & Terpenoids,"Alpha-bisabolol (levomenol) is the principal sesquiterpene alcohol in chamomile essential oil, contributing anti-inflammatory and skin-healing properties. It inhibits prostaglandin synthesis via cyclooxygenase pathways and has anxiolytic effects in animal models via 5-HT1A receptor modulation (the serotonin receptor targeted by buspirone). Anti-inflammatory activity is consistent with traditional use for gastrointestinal spasm."
173,57,Matricine & Chamazulene,"Chamazulene is the characteristic deep-blue compound formed from matricine during steam distillation of chamomile oil. It is a potent inhibitor of leukotriene B4 synthesis (a pro-inflammatory eicosanoid) and has documented antioxidant activity. Combined with apigenin's GABA-A modulation and bisabolol's serotonergic activity, these terpenoids give chamomile a mechanistically plausible multi-target calming profile."
