food_id,goal_id,evidence_strength,subcategory,notes
27,6,2,cognitive;mood,"DB-RCT (Wightman 2021, n=94 healthy adults aged 30-60, 29 days): Cognivia sage extract (600mg/day, combining Salvia officinalis polyphenols + S. lavandulaefolia terpenoids) significantly improved working memory and recall accuracy on Corsi Blocks, Numeric Working Memory, and Name-to-Face Recall tasks — both acutely (within day 1) and chronically (across 29 days). Miroddi 2014 systematic review of 14 trials confirms consistent cognitive enhancement across Salvia species in both healthy adults and Alzheimers patients. Mechanism: carnosic acid, rosmarinic acid, and 1,8-cineole inhibit AChE and BuChE — the same enzymes targeted by prescription Alzheimers drugs donepezil and rivastigmine. Cretan S. fruticosa shares these compounds with a chemotype dominated by 1,8-cineole."
27,4,2,neuroprotection;cellular,"Sages AChE-inhibiting compounds (carnosic acid, rosmarinic acid, 1,8-cineole) are mechanistically aligned with the principal pharmacological target of currently prescribed Alzheimers drugs (donepezil, rivastigmine, galantamine); systematic review (Miroddi 2014) documented cognitive improvements in mild-to-moderate Alzheimers disease populations across multiple Salvia trials; carnosic acid additionally has documented Nrf2-mediated antioxidant gene activation and protects neurons from oxidative damage in animal models; the daily Cretan tradition of faskomilo tea constitutes a chronic mechanistic intervention."

28,7,3,postprandial,"Mah 2025 meta-analysis (28 controlled trials): chickpea significantly reduces postprandial glucose iAUC vs carbohydrate-matched controls — MD −47.89 (95% CI −64.20 to −31.58; p<0.0001); GRADE certainty very low due to high heterogeneity; mechanism: soluble fibre and resistant starch slow glucose absorption"
28,2,2,cholesterol,"Thorisdottir 2023 meta-analysis (14 RCTs, 448 participants): total cholesterol −0.22 mmol/L, LDL −0.19 mmol/L, HOMA-IR −0.30; cohort studies show null for hard CVD endpoints; evidence rated suggestive"
28,3,1,microbiome,"Resistant starch and soluble fibre in chickpeas and lentils fermented to SCFAs (butyrate) by colonic microbiota; compositional and mechanistic data only; no direct Cretan legume RCT on gut microbiome endpoints"
29,1,1,antioxidant,"Dzhoglova 2025 review (79 studies): in vitro anti-inflammatory, antioxidant, and 5-lipoxygenase/phospholipase A2 inhibition; chlorogenic acid, flavonoids (rutin, hyperoside) and terpenoids as active compounds; no human RCTs"
29,3,1,microbiome,"Correia 2024: prebiotic effect on Lactobacillus/Bifidobacterium in Caco-2 intestinal model; composition rich in dietary fibre and polyphenols; in vitro data only"
29,4,1,cellular,"Dzhoglova 2025 review: antioxidant compounds with free-radical scavenging activity and in vitro anticancer properties; cholinesterase inhibition suggesting potential neuroprotective role; preclinical only"
30,2,2,cholesterol,"Huang 2023 meta-analysis (12 RCTs, 589 participants): hesperidin reduced LDL −0.22 mmol/L (95% CI −0.33 to −0.11), total cholesterol −0.20 mmol/L; RCTs used purified hesperidin extract — whole-fruit effect not directly quantified; evidence_strength downgraded from 3 to 2 for food-level claim"
30,1,2,antioxidant,"Huang 2023: hesperidin significantly reduced CRP −0.56 mg/L, ICAM-1 −13.60 ng/mL, VCAM-1 −15.60 ng/mL across 12 RCTs; NF-κB and adhesion molecule suppression mechanism; whole-fruit effect not directly quantified"
30,7,2,fasting_glucose,"Huang 2023: hesperidin reduced fasting blood glucose WMD −0.15 mg/dL (95% CI −0.29 to −0.02) and improved insulin sensitivity (QUICKI +0.06) in 12 RCTs; whole-fruit effect not directly quantified"
31,1,1,antioxidant,"Fazel 2024 review (126 studies): in vitro antioxidant, anti-inflammatory, and anti-arthritic properties; anthocyanins and rutin as primary active compounds; NF-κB inhibition postulated; no human RCTs"
31,7,1,fasting_glucose,"Fazel 2024 review: antidiabetic properties in preclinical models; rutin and chlorogenic acid inhibit alpha-glucosidase in vitro; dietary fibre slows glucose absorption; no direct human RCTs on whole fig consumption"
31,4,1,neuroprotection,"Fazel 2024 review: cholinesterase inhibition by anthocyanins potentially protective in Alzheimer's disease; in vitro data only; no human neuroprotection trials for figs"
32,2,1,circulation,"Aouji 2023 compositional study: good omega-3/omega-6 ratio and predominantly unsaturated fatty acid profile in H. aspersa flesh; PUFA profile comparable in structure to oily fish; supports cardiovascular-protective mechanism; compositional data only — no human RCTs"
32,5,1,vitality,"Aouji 2023 + Bongiorno 2024: complete protein with all essential amino acids at ~77 kcal/100g — exceptional protein density for caloric load; Bongiorno 2024 supports use as sustainable high-quality protein source; compositional data only"
32,4,1,cellular,"Aouji 2023: flesh extracts contain large quantities of antioxidant biomolecules with significant DPPH free-radical scavenging activity; in vitro antioxidant capacity; no human oxidative stress trials"
